partecipant,session,type,understood,stuck,count
14,1e29112946aef12a81,ML,4,2,4
14,1e29112946aef12a81,BL,5,2,4
14,1e29112946aef12a81,BL,3,2,2
14,1e29112946aef12a81,BL,4,2,6
14,1e29112946aef12a81,BL,4,2,2
14,1e29112946aef12a81,BL,5,2,4
15,a1ce756bdc2562fa79,ML,4,2,3
15,a1ce756bdc2562fa79,ML,4,2,6
15,a1ce756bdc2562fa79,ML,3,2,4
15,a1ce756bdc2562fa79,ML,5,2,4
15,a1ce756bdc2562fa79,ML,5,2,5
15,a1ce756bdc2562fa79,BL,5,2,5
15,a1ce756bdc2562fa79,BL,4,2,5
15,a1ce756bdc2562fa79,BL,3,3,6
15,a1ce756bdc2562fa79,BL,5,2,3
15,a1ce756bdc2562fa79,BL,5,2,4
16,68c163563b9d402088,ML,4,2,4
16,68c163563b9d402088,ML,3,2,2
16,68c163563b9d402088,ML,3,2,4
16,68c163563b9d402088,ML,5,2,3
16,68c163563b9d402088,ML,4,2,5
16,68c163563b9d402088,BL,5,2,2
16,68c163563b9d402088,BL,4,2,4
16,68c163563b9d402088,BL,3,3,3
16,68c163563b9d402088,BL,4,2,3
16,68c163563b9d402088,BL,3,2,3
17,75307ad552f7ae73e2,ML,3,3,9
17,75307ad552f7ae73e2,ML,4,3,6
17,75307ad552f7ae73e2,ML,4,2,5
17,75307ad552f7ae73e2,ML,5,2,3
17,75307ad552f7ae73e2,ML,4,2,4
17,75307ad552f7ae73e2,BL,4,2,4
17,75307ad552f7ae73e2,BL,3,3,6
17,75307ad552f7ae73e2,BL,4,3,3
17,75307ad552f7ae73e2,BL,4,2,2
17,75307ad552f7ae73e2,BL,4,2,3
18,0e1bde78c28850b884,ML,3,2,8
18,0e1bde78c28850b884,ML,4,2,4
18,0e1bde78c28850b884,ML,3,2,5
18,0e1bde78c28850b884,ML,5,2,2
18,0e1bde78c28850b884,ML,4,2,3
18,0e1bde78c28850b884,BL,4,2,6
18,0e1bde78c28850b884,BL,4,2,5
18,0e1bde78c28850b884,BL,4,3,4
18,0e1bde78c28850b884,BL,5,2,2
18,0e1bde78c28850b884,BL,5,2,4
19,56b98219e42c9b0f68,ML,2,3,7
19,56b98219e42c9b0f68,ML,3,2,6
19,56b98219e42c9b0f68,ML,2,2,4
19,56b98219e42c9b0f68,ML,5,2,3
19,56b98219e42c9b0f68,ML,4,2,3
19,56b98219e42c9b0f68,BL,5,2,4
19,56b98219e42c9b0f68,BL,4,2,4
19,56b98219e42c9b0f68,BL,4,2,4
19,56b98219e42c9b0f68,BL,5,2,4
19,56b98219e42c9b0f68,BL,5,2,3
20,aee58379db579085fb,ML,3,2,3
20,aee58379db579085fb,ML,3,2,6
20,aee58379db579085fb,ML,3,2,3
20,aee58379db579085fb,ML,5,2,3
20,aee58379db579085fb,ML,4,2,2
20,aee58379db579085fb,BL,5,2,5
20,aee58379db579085fb,BL,5,3,3
20,aee58379db579085fb,BL,2,3,4
20,aee58379db579085fb,BL,5,2,3
20,aee58379db579085fb,BL,5,2,4
